Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife
0 days 01:13:24.782000,44,0 days 00:01:49.997000,22,0 days 01:12:09.496000,"",0 days 00:00:52.233000,0 days 00:00:34.255000,0 days 00:00:23.509000,303.0,219.0,282.0,286.0,soft,5.0
0 days 01:14:29.598000,44,0 days 00:01:04.816000,23,"","",0 days 00:00:16.437000,0 days 00:00:28.758000,0 days 00:00:19.621000,311.0,245.0,283.0,313.0,soft,6.0
0 days 01:15:51.157000,44,0 days 00:01:21.559000,24,"",0 days 01:15:47.743000,0 days 00:00:20.704000,0 days 00:00:35.424000,0 days 00:00:25.431000,187.0,221.0,"",261.0,soft,7.0
0 days 01:22:13.495000,44,"",25,0 days 01:21:53.276000,"","",0 days 00:00:34.629000,0 days 00:00:24.681000,286.0,218.0,270.0,276.0,soft,8.0
0 days 01:23:22.421000,44,0 days 00:01:08.926000,26,"","",0 days 00:00:17.347000,0 days 00:00:30.558000,0 days 00:00:21.021000,285.0,236.0,271.0,291.0,soft,9.0
0 days 01:24:30.821000,44,0 days 00:01:08.400000,27,"","",0 days 00:00:17.264000,0 days 00:00:30.303000,0 days 00:00:20.833000,291.0,238.0,272.0,298.0,soft,10.0
0 days 01:25:39.260000,44,0 days 00:01:08.439000,28,"","",0 days 00:00:17.390000,0 days 00:00:30.268000,0 days 00:00:20.781000,295.0,236.0,272.0,300.0,soft,11.0
0 days 01:26:47.871000,44,0 days 00:01:08.611000,29,"","",0 days 00:00:17.415000,0 days 00:00:30.313000,0 days 00:00:20.883000,285.0,234.0,269.0,291.0,soft,12.0
0 days 01:27:55.900000,44,0 days 00:01:08.029000,30,"","",0 days 00:00:17.182000,0 days 00:00:30.223000,0 days 00:00:20.624000,297.0,237.0,274.0,299.0,soft,13.0
0 days 01:29:05.546000,44,0 days 00:01:09.646000,31,"","",0 days 00:00:17.245000,0 days 00:00:31.178000,0 days 00:00:21.223000,292.0,235.0,274.0,298.0,soft,14.0
0 days 01:30:14.310000,44,0 days 00:01:08.764000,32,"","",0 days 00:00:17.320000,0 days 00:00:30.643000,0 days 00:00:20.801000,294.0,237.0,273.0,303.0,soft,15.0
0 days 01:31:22.391000,44,0 days 00:01:08.081000,33,"","",0 days 00:00:17.264000,0 days 00:00:30.155000,0 days 00:00:20.662000,291.0,235.0,271.0,298.0,soft,16.0
0 days 01:32:30.581000,44,0 days 00:01:08.190000,34,"","",0 days 00:00:17.274000,0 days 00:00:30.239000,0 days 00:00:20.677000,293.0,236.0,274.0,299.0,soft,17.0
0 days 01:33:39.402000,44,0 days 00:01:08.821000,35,"","",0 days 00:00:17.337000,0 days 00:00:30.649000,0 days 00:00:20.835000,297.0,232.0,274.0,298.0,soft,18.0
0 days 01:34:47.913000,44,0 days 00:01:08.511000,36,"","",0 days 00:00:17.288000,0 days 00:00:30.525000,0 days 00:00:20.698000,"",235.0,273.0,300.0,soft,19.0
0 days 01:35:57.106000,44,0 days 00:01:09.193000,37,"","",0 days 00:00:17.522000,0 days 00:00:30.750000,0 days 00:00:20.921000,286.0,234.0,272.0,294.0,soft,20.0
0 days 01:37:05.938000,44,0 days 00:01:08.832000,38,"","",0 days 00:00:17.428000,0 days 00:00:30.602000,0 days 00:00:20.802000,294.0,232.0,272.0,299.0,soft,21.0
0 days 01:38:20.071000,44,0 days 00:01:14.133000,39,"",0 days 01:39:14.163000,0 days 00:00:17.832000,0 days 00:00:32.021000,0 days 00:00:24.280000,276.0,225.0,"",282.0,soft,22.0
0 days 01:40:04.141000,44,0 days 00:01:44.070000,40,0 days 01:39:48.291000,"",0 days 00:00:48.027000,0 days 00:00:33.932000,0 days 00:00:22.111000,276.0,216.0,269.0,267.0,soft,23.0
0 days 01:41:48.211000,44,0 days 00:01:44.070000,41,"",0 days 01:41:48.211000,0 days 00:00:18.637000,"",0 days 00:00:22.111000,269.0,"",269.0,275.0,soft,24.0
0 days 00:12:20.615000,33,"",1,0 days 00:10:51.251000,0 days 00:12:17.190000,"",0 days 00:00:36.646000,0 days 00:00:33.649000,224.0,213.0,"",300.0,hard,1.0
0 days 00:39:13.768000,33,"",2,0 days 00:37:48.614000,"","",0 days 00:00:39.051000,0 days 00:00:26.427000,267.0,189.0,253.0,264.0,intermediate,1.0
0 days 00:40:35.002000,33,0 days 00:01:21.234000,3,"",0 days 00:40:31.541000,0 days 00:00:18.588000,0 days 00:00:34.322000,0 days 00:00:28.324000,297.0,211.0,"",295.0,intermediate,2.0
0 days 00:46:58.006000,33,"",4,0 days 00:45:44.543000,"","",0 days 00:00:31.349000,0 days 00:00:24.064000,296.0,225.0,272.0,296.0,hard,2.0
0 days 00:48:06.773000,33,0 days 00:01:08.767000,5,"","",0 days 00:00:17.610000,0 days 00:00:30.072000,0 days 00:00:21.085000,300.0,225.0,274.0,296.0,hard,3.0
0 days 00:49:14.693000,33,0 days 00:01:07.920000,6,"","",0 days 00:00:17.101000,0 days 00:00:29.942000,0 days 00:00:20.877000,303.0,231.0,275.0,297.0,hard,4.0
0 days 00:50:22.377000,33,0 days 00:01:07.684000,7,"","",0 days 00:00:16.953000,0 days 00:00:29.906000,0 days 00:00:20.825000,306.0,232.0,276.0,293.0,hard,5.0
0 days 00:51:37.681000,33,0 days 00:01:15.304000,8,"","",0 days 00:00:17.185000,0 days 00:00:35.676000,0 days 00:00:22.443000,302.0,223.0,275.0,251.0,hard,6.0
0 days 00:52:44.875000,33,0 days 00:01:07.194000,9,"","",0 days 00:00:17.112000,0 days 00:00:29.645000,0 days 00:00:20.437000,299.0,239.0,276.0,301.0,hard,7.0
0 days 00:54:08.418000,33,0 days 00:01:23.543000,10,"","",0 days 00:00:21.520000,0 days 00:00:38.924000,0 days 00:00:23.099000,209.0,218.0,276.0,257.0,hard,8.0
0 days 00:55:15.308000,33,0 days 00:01:06.890000,11,"","",0 days 00:00:16.924000,0 days 00:00:29.622000,0 days 00:00:20.344000,301.0,239.0,278.0,303.0,hard,9.0
0 days 00:56:43.054000,33,0 days 00:01:27.746000,12,"",0 days 00:56:39.651000,0 days 00:00:18.576000,0 days 00:00:38.173000,0 days 00:00:30.997000,250.0,75.0,"",250.0,hard,10.0
0 days 00:58:37.830000,33,0 days 00:01:54.776000,13,0 days 00:57:25.989000,"",0 days 00:01:00.287000,0 days 00:00:32.222000,0 days 00:00:22.267000,287.0,223.0,277.0,289.0,hard,11.0
0 days 00:59:44.621000,33,0 days 00:01:06.791000,14,"","",0 days 00:00:16.998000,0 days 00:00:29.505000,0 days 00:00:20.288000,301.0,238.0,280.0,302.0,hard,12.0
0 days 01:01:01.170000,33,0 days 00:01:16.549000,15,"","",0 days 00:00:18.643000,0 days 00:00:32.670000,0 days 00:00:25.236000,265.0,228.0,278.0,281.0,hard,13.0
0 days 01:02:07.726000,33,0 days 00:01:06.556000,16,"","",0 days 00:00:16.917000,0 days 00:00:29.300000,0 days 00:00:20.339000,301.0,238.0,278.0,302.0,hard,14.0
0 days 01:03:28.288000,33,0 days 00:01:20.562000,17,"","",0 days 00:00:18.890000,0 days 00:00:33.747000,0 days 00:00:27.925000,215.0,217.0,276.0,262.0,hard,15.0
0 days 01:04:34.812000,33,0 days 00:01:06.524000,18,"","",0 days 00:00:16.880000,0 days 00:00:29.428000,0 days 00:00:20.216000,305.0,238.0,277.0,303.0,hard,16.0
0 days 01:05:48.697000,33,0 days 00:01:13.885000,19,"","",0 days 00:00:18.855000,0 days 00:00:33.062000,0 days 00:00:21.968000,246.0,234.0,277.0,277.0,hard,17.0
0 days 01:06:56.288000,33,0 days 00:01:07.591000,20,"","",0 days 00:00:16.977000,0 days 00:00:29.310000,0 days 00:00:21.304000,299.0,240.0,185.0,302.0,hard,18.0
0 days 01:08:13.064000,33,0 days 00:01:16.776000,21,"",0 days 01:08:09.628000,0 days 00:00:19.909000,0 days 00:00:31.390000,0 days 00:00:25.477000,225.0,234.0,"",283.0,hard,19.0
0 days 01:23:53.933000,33,"",22,0 days 01:22:40.634000,"","",0 days 00:00:33.155000,0 days 00:00:22.936000,285.0,207.0,279.0,292.0,soft,1.0
0 days 01:25:25.163000,33,0 days 00:01:31.230000,23,"","",0 days 00:00:32.470000,0 days 00:00:36.259000,0 days 00:00:22.501000,281.0,214.0,281.0,266.0,soft,2.0
0 days 01:26:30.581000,33,0 days 00:01:05.418000,24,"","",0 days 00:00:16.709000,0 days 00:00:28.806000,0 days 00:00:19.903000,304.0,244.0,281.0,304.0,soft,3.0
0 days 01:27:55.200000,33,0 days 00:01:24.619000,25,"","",0 days 00:00:22.329000,0 days 00:00:39.178000,0 days 00:00:23.112000,144.0,208.0,280.0,203.0,soft,4.0
0 days 01:29:10.241000,33,0 days 00:01:15.041000,26,"","",0 days 00:00:16.669000,0 days 00:00:33.854000,0 days 00:00:24.518000,305.0,200.0,279.0,309.0,soft,5.0
0 days 01:30:15.945000,33,0 days 00:01:05.704000,27,"","",0 days 00:00:16.712000,0 days 00:00:29.010000,0 days 00:00:19.982000,304.0,243.0,279.0,305.0,soft,6.0
0 days 01:31:45.791000,33,0 days 00:01:29.846000,28,"","",0 days 00:00:19.773000,0 days 00:00:40.045000,0 days 00:00:30.028000,209.0,195.0,232.0,154.0,soft,7.0
0 days 01:33:03.298000,33,0 days 00:01:17.507000,29,"","",0 days 00:00:20.393000,0 days 00:00:34.440000,0 days 00:00:22.674000,237.0,206.0,279.0,263.0,soft,8.0
0 days 01:34:08.996000,33,0 days 00:01:05.698000,30,"","",0 days 00:00:16.742000,0 days 00:00:28.974000,0 days 00:00:19.982000,303.0,244.0,281.0,305.0,soft,9.0
0 days 01:35:29.919000,33,0 days 00:01:20.923000,31,"","",0 days 00:00:19.400000,0 days 00:00:35.703000,0 days 00:00:25.820000,249.0,207.0,243.0,226.0,soft,10.0
0 days 01:36:51.355000,33,0 days 00:01:21.436000,32,"","",0 days 00:00:20.555000,0 days 00:00:36.716000,0 days 00:00:24.165000,252.0,212.0,280.0,214.0,soft,11.0
0 days 01:37:57.078000,33,0 days 00:01:05.723000,33,"","",0 days 00:00:16.746000,0 days 00:00:28.881000,0 days 00:00:20.096000,303.0,242.0,278.0,306.0,soft,12.0
0 days 01:39:23.680000,33,0 days 00:01:26.602000,34,"","",0 days 00:00:20.026000,0 days 00:00:37.734000,0 days 00:00:28.842000,191.0,212.0,280.0,173.0,soft,13.0
0 days 01:40:35.828000,33,0 days 00:01:12.148000,35,"","",0 days 00:00:16.828000,0 days 00:00:32.140000,0 days 00:00:23.180000,306.0,145.0,258.0,308.0,soft,14.0
0 days 01:41:48.211000,33,"",36,"",0 days 01:41:48.211000,0 days 00:00:19.701000,0 days 00:00:38.157000,0 days 00:00:23.180000,221.0,190.0,258.0,194.0,soft,15.0
0 days 00:14:36.866000,31,"",1,0 days 00:12:58.441000,0 days 00:14:30.801000,"",0 days 00:00:40.402000,0 days 00:00:37.373000,251.0,201.0,"",199.0,medium,1.0
0 days 00:37:28.373000,31,"",2,0 days 00:36:00.359000,"","",0 days 00:00:38.533000,0 days 00:00:29.362000,267.0,185.0,254.0,272.0,intermediate,1.0
0 days 00:39:05.098000,31,0 days 00:01:36.725000,3,"",0 days 00:39:00.719000,0 days 00:00:20.422000,0 days 00:00:39.501000,0 days 00:00:36.802000,278.0,172.0,"",287.0,intermediate,2.0
0 days 00:46:54.841000,31,"",4,0 days 00:45:36.251000,"","",0 days 00:00:33.458000,0 days 00:00:25.701000,293.0,225.0,275.0,295.0,medium,2.0
0 days 00:48:03.136000,31,0 days 00:01:08.295000,5,"","",0 days 00:00:17.423000,0 days 00:00:30.019000,0 days 00:00:20.853000,300.0,237.0,283.0,302.0,medium,3.0
0 days 00:49:11.655000,31,0 days 00:01:08.519000,6,"","",0 days 00:00:16.911000,0 days 00:00:30.112000,0 days 00:00:21.496000,310.0,237.0,283.0,311.0,medium,4.0
0 days 00:50:42.409000,31,0 days 00:01:30.754000,7,"","",0 days 00:00:21.587000,0 days 00:00:40.382000,0 days 00:00:28.785000,264.0,169.0,278.0,270.0,medium,5.0
0 days 00:51:50.053000,31,0 days 00:01:07.644000,8,"","",0 days 00:00:16.993000,0 days 00:00:29.880000,0 days 00:00:20.771000,310.0,241.0,288.0,312.0,medium,6.0
0 days 00:53:19.865000,31,0 days 00:01:29.812000,9,"","",0 days 00:00:23.858000,0 days 00:00:38.783000,0 days 00:00:27.171000,191.0,202.0,276.0,281.0,medium,7.0
0 days 00:54:26.785000,31,0 days 00:01:06.920000,10,"","",0 days 00:00:16.894000,0 days 00:00:29.640000,0 days 00:00:20.386000,314.0,244.0,284.0,313.0,medium,8.0
0 days 00:55:33.776000,31,0 days 00:01:06.991000,11,"","",0 days 00:00:16.752000,0 days 00:00:29.751000,0 days 00:00:20.488000,316.0,241.0,279.0,315.0,medium,9.0
0 days 00:56:54.899000,31,0 days 00:01:21.123000,12,"",0 days 00:56:51.438000,0 days 00:00:19.403000,0 days 00:00:35.047000,0 days 00:00:26.673000,269.0,229.0,"",196.0,medium,10.0
0 days 01:06:27.870000,31,"",13,0 days 01:05:13.134000,"","",0 days 00:00:33.373000,0 days 00:00:23.244000,289.0,224.0,279.0,297.0,medium,1.0
0 days 01:07:34.461000,31,0 days 00:01:06.591000,14,"","",0 days 00:00:16.859000,0 days 00:00:29.434000,0 days 00:00:20.298000,311.0,246.0,282.0,313.0,medium,2.0
0 days 01:08:59.648000,31,0 days 00:01:25.187000,15,"","",0 days 00:00:22.563000,0 days 00:00:36.856000,0 days 00:00:25.768000,168.0,206.0,280.0,249.0,medium,3.0
0 days 01:10:06.048000,31,0 days 00:01:06.400000,16,"","",0 days 00:00:16.916000,0 days 00:00:29.252000,0 days 00:00:20.232000,308.0,246.0,285.0,311.0,medium,4.0
0 days 01:11:29.069000,31,0 days 00:01:23.021000,17,"",0 days 01:11:25.614000,0 days 00:00:18.793000,0 days 00:00:36.686000,0 days 00:00:27.542000,269.0,219.0,"",199.0,medium,5.0
0 days 01:13:31.430000,31,0 days 00:02:02.361000,18,0 days 01:12:13.067000,"",0 days 00:01:02.421000,0 days 00:00:33.349000,0 days 00:00:26.591000,287.0,225.0,279.0,303.0,medium,6.0
0 days 01:14:37.805000,31,0 days 00:01:06.375000,19,"","",0 days 00:00:16.803000,0 days 00:00:29.384000,0 days 00:00:20.188000,309.0,245.0,284.0,309.0,medium,7.0
0 days 01:15:59.971000,31,0 days 00:01:22.166000,20,"","",0 days 00:00:19.759000,0 days 00:00:35.721000,0 days 00:00:26.686000,266.0,171.0,279.0,278.0,medium,8.0
0 days 01:17:06.241000,31,0 days 00:01:06.270000,21,"","",0 days 00:00:16.841000,0 days 00:00:29.222000,0 days 00:00:20.207000,309.0,244.0,282.0,310.0,medium,9.0
0 days 01:18:28.851000,31,0 days 00:01:22.610000,22,"",0 days 01:41:48.211000,0 days 00:00:18.045000,0 days 00:00:35.048000,0 days 00:00:29.517000,282.0,233.0,282.0,199.0,medium,10.0
0 days 00:12:23.578000,26,"",1,0 days 00:10:46.258000,0 days 00:12:20.110000,"",0 days 00:00:40.245000,0 days 00:00:33.516000,248.0,166.0,"",244.0,medium,1.0
0 days 00:37:49.176000,26,"",2,0 days 00:36:28.829000,"","",0 days 00:00:35.662000,0 days 00:00:24.682000,241.0,203.0,258.0,290.0,intermediate,1.0
0 days 00:39:07.800000,26,0 days 00:01:18.624000,3,"",0 days 00:39:04.346000,0 days 00:00:17.980000,0 days 00:00:31.873000,0 days 00:00:28.771000,302.0,218.0,"",303.0,intermediate,2.0
0 days 00:49:42.655000,26,"",4,0 days 00:48:26.027000,"","",0 days 00:00:34.246000,0 days 00:00:22.740000,211.0,225.0,278.0,292.0,medium,2.0
0 days 00:50:51.827000,26,0 days 00:01:09.172000,5,"","",0 days 00:00:16.890000,0 days 00:00:29.880000,0 days 00:00:22.402000,308.0,224.0,274.0,311.0,medium,3.0
0 days 00:52:24.586000,26,0 days 00:01:32.759000,6,"",0 days 00:52:21.228000,0 days 00:00:21.651000,0 days 00:00:38.982000,0 days 00:00:32.126000,157.0,187.0,"",194.0,medium,4.0
0 days 00:58:15.899000,26,"",7,0 days 00:57:01.873000,"","",0 days 00:00:32.776000,0 days 00:00:23.262000,286.0,224.0,278.0,285.0,medium,5.0
0 days 00:59:23.801000,26,0 days 00:01:07.902000,8,"","",0 days 00:00:17.088000,0 days 00:00:29.855000,0 days 00:00:20.959000,306.0,240.0,278.0,307.0,medium,6.0
0 days 01:00:49.434000,26,0 days 00:01:25.633000,9,"","",0 days 00:00:19.400000,0 days 00:00:38.936000,0 days 00:00:27.297000,273.0,191.0,282.0,226.0,medium,7.0
0 days 01:01:56.473000,26,0 days 00:01:07.039000,10,"","",0 days 00:00:16.772000,0 days 00:00:29.689000,0 days 00:00:20.578000,310.0,236.0,282.0,310.0,medium,8.0
0 days 01:03:22.861000,26,0 days 00:01:26.388000,11,"","",0 days 00:00:19.835000,0 days 00:00:40.563000,0 days 00:00:25.990000,277.0,202.0,277.0,247.0,medium,9.0
0 days 01:04:30.215000,26,0 days 00:01:07.354000,12,"","",0 days 00:00:17.008000,0 days 00:00:29.669000,0 days 00:00:20.677000,304.0,234.0,282.0,307.0,medium,10.0
0 days 01:05:49.031000,26,0 days 00:01:18.816000,13,"",0 days 01:05:45.591000,0 days 00:00:19.029000,0 days 00:00:34.331000,0 days 00:00:25.456000,281.0,218.0,"",267.0,medium,11.0
0 days 01:36:33.743000,26,"",14,0 days 01:35:19.360000,"","",0 days 00:00:33.075000,0 days 00:00:22.816000,284.0,224.0,278.0,277.0,medium,1.0
0 days 01:37:40.686000,26,0 days 00:01:06.943000,15,"","",0 days 00:00:16.911000,0 days 00:00:29.528000,0 days 00:00:20.504000,305.0,243.0,281.0,308.0,medium,2.0
0 days 01:39:04.601000,26,0 days 00:01:23.915000,16,"","",0 days 00:00:19.691000,0 days 00:00:39.786000,0 days 00:00:24.438000,264.0,148.0,280.0,281.0,medium,3.0
0 days 01:40:14.533000,26,0 days 00:01:09.932000,17,"","",0 days 00:00:16.699000,0 days 00:00:29.473000,0 days 00:00:23.760000,308.0,232.0,225.0,310.0,medium,4.0
0 days 01:41:48.211000,26,"",18,"",0 days 01:41:48.211000,0 days 00:00:22.557000,0 days 00:00:36.419000,0 days 00:00:23.760000,257.0,163.0,225.0,241.0,medium,5.0
0 days 00:11:37.886000,23,"",1,0 days 00:10:08.195000,0 days 00:11:33.808000,"",0 days 00:00:37.096000,0 days 00:00:30.791000,259.0,199.0,"",230.0,hard,1.0
0 days 00:39:36.387000,23,"",2,0 days 00:38:09.075000,"","",0 days 00:00:39.690000,0 days 00:00:26.918000,262.0,192.0,250.0,232.0,intermediate,1.0
0 days 00:41:04.023000,23,0 days 00:01:27.636000,3,"",0 days 00:41:00.512000,0 days 00:00:19.589000,0 days 00:00:37.541000,0 days 00:00:30.506000,252.0,197.0,"",254.0,intermediate,2.0
0 days 00:48:28.324000,23,"",4,0 days 00:47:10.979000,"","",0 days 00:00:34.331000,0 days 00:00:23.569000,291.0,213.0,270.0,284.0,hard,2.0
0 days 00:49:38.274000,23,0 days 00:01:09.950000,5,"","",0 days 00:00:17.468000,0 days 00:00:30.808000,0 days 00:00:21.674000,303.0,224.0,275.0,302.0,hard,3.0
0 days 00:50:47.094000,23,0 days 00:01:08.820000,6,"","",0 days 00:00:17.222000,0 days 00:00:30.183000,0 days 00:00:21.415000,308.0,231.0,280.0,306.0,hard,4.0
0 days 00:51:55.082000,23,0 days 00:01:07.988000,7,"","",0 days 00:00:16.853000,0 days 00:00:30.096000,0 days 00:00:21.039000,313.0,233.0,279.0,306.0,hard,5.0
0 days 00:53:17.319000,23,0 days 00:01:22.237000,8,"","",0 days 00:00:16.922000,0 days 00:00:36.460000,0 days 00:00:28.855000,311.0,143.0,274.0,292.0,hard,6.0
0 days 00:54:25.171000,23,0 days 00:01:07.852000,9,"","",0 days 00:00:17.176000,0 days 00:00:29.930000,0 days 00:00:20.746000,306.0,233.0,277.0,296.0,hard,7.0
0 days 00:55:32.626000,23,0 days 00:01:07.455000,10,"","",0 days 00:00:16.908000,0 days 00:00:29.877000,0 days 00:00:20.670000,308.0,230.0,278.0,296.0,hard,8.0
0 days 00:56:55.060000,23,0 days 00:01:22.434000,11,"","",0 days 00:00:21.076000,0 days 00:00:38.661000,0 days 00:00:22.697000,231.0,209.0,275.0,244.0,hard,9.0
0 days 00:58:02.354000,23,0 days 00:01:07.294000,12,"","",0 days 00:00:16.946000,0 days 00:00:29.697000,0 days 00:00:20.651000,304.0,229.0,278.0,296.0,hard,10.0
0 days 00:59:09.508000,23,0 days 00:01:07.154000,13,"","",0 days 00:00:17.092000,0 days 00:00:29.596000,0 days 00:00:20.466000,303.0,233.0,282.0,295.0,hard,11.0
0 days 01:00:26.741000,23,0 days 00:01:17.233000,14,"","",0 days 00:00:17.496000,0 days 00:00:35.265000,0 days 00:00:24.472000,247.0,197.0,279.0,287.0,hard,12.0
0 days 01:01:33.095000,23,0 days 00:01:06.354000,15,"","",0 days 00:00:16.868000,0 days 00:00:29.344000,0 days 00:00:20.142000,303.0,243.0,279.0,304.0,hard,13.0
0 days 01:02:53.967000,23,0 days 00:01:20.872000,16,"",0 days 01:02:50.568000,0 days 00:00:18.535000,0 days 00:00:36.299000,0 days 00:00:26.038000,262.0,222.0,"",265.0,hard,14.0
0 days 01:20:17.687000,23,"",17,0 days 01:18:56.209000,"","",0 days 00:00:35.287000,0 days 00:00:26.131000,253.0,221.0,280.0,266.0,soft,1.0
0 days 01:21:48.451000,23,0 days 00:01:30.764000,18,"","",0 days 00:00:16.738000,0 days 00:00:47.387000,0 days 00:00:26.639000,304.0,198.0,279.0,157.0,soft,2.0
0 days 01:22:54.152000,23,0 days 00:01:05.701000,19,"","",0 days 00:00:16.781000,0 days 00:00:28.899000,0 days 00:00:20.021000,303.0,247.0,283.0,305.0,soft,3.0
0 days 01:24:26.318000,23,0 days 00:01:32.166000,20,"",0 days 01:24:22.869000,0 days 00:00:22.747000,0 days 00:00:40.156000,0 days 00:00:29.263000,216.0,195.0,"",192.0,soft,4.0
